subfield_display,publication_year,domestic_publications,international_publications,total_publications,domestic_percentage,international_percentage,domestic_avg_citations,international_avg_citations
Artificial Intelligence,2015,956.0,316.0,1272.0,75.16,24.84,7.419456066945607,25.00632911392405
Computational Theory and Mathematics,2015,254.0,146.0,400.0,63.5,36.5,9.811023622047244,48.43150684931507
Computer Graphics and Computer-Aided Design,2015,30.0,8.0,38.0,78.95,21.05,3.8333333333333335,13.375
Computer Networks and Communications,2015,555.0,243.0,798.0,69.55,30.45,7.587387387387388,16.102880658436213
Computer Science Applications,2015,186.0,56.0,242.0,76.86,23.14,4.252688172043011,29.517857142857142
Computer Vision and Pattern Recognition,2015,465.0,137.0,602.0,77.24,22.76,9.804301075268818,13.386861313868613
Hardware and Architecture,2015,101.0,36.0,137.0,73.72,26.28,4.465346534653466,11.472222222222221
Human-Computer Interaction,2015,114.0,20.0,134.0,85.07,14.93,7.017543859649122,8.15
Information Systems,2015,1523.0,272.0,1795.0,84.85,15.15,3.562705187130663,12.430147058823529
Signal Processing,2015,166.0,55.0,221.0,75.11,24.89,12.240963855421686,15.472727272727273
Software,2015,65.0,23.0,88.0,73.86,26.14,5.076923076923077,9.478260869565217
Total,2015,4415.0,1312.0,5727.0,77.09,22.91,6.409966024915062,20.964939024390244
Artificial Intelligence,2016,925.0,341.0,1266.0,73.06,26.94,8.17945945945946,24.780058651026394
Computational Theory and Mathematics,2016,202.0,120.0,322.0,62.73,37.27,9.301980198019802,17.183333333333334
Computer Graphics and Computer-Aided Design,2016,28.0,14.0,42.0,66.67,33.33,3.6785714285714284,6.857142857142857
Computer Networks and Communications,2016,521.0,249.0,770.0,67.66,32.34,6.18042226487524,16.943775100401606
Computer Science Applications,2016,181.0,80.0,261.0,69.35,30.65,7.066298342541437,12.0
Computer Vision and Pattern Recognition,2016,436.0,126.0,562.0,77.58,22.42,7.940366972477064,23.11904761904762
Hardware and Architecture,2016,102.0,41.0,143.0,71.33,28.67,5.0588235294117645,5.780487804878049
Human-Computer Interaction,2016,135.0,33.0,168.0,80.36,19.64,5.555555555555555,21.21212121212121
Information Systems,2016,1901.0,297.0,2198.0,86.49,13.51,2.547606522882693,55.80808080808081
Signal Processing,2016,163.0,62.0,225.0,72.44,27.56,8.282208588957054,33.16129032258065
Software,2016,77.0,26.0,103.0,74.76,25.24,4.987012987012987,18.807692307692307
Total,2016,4671.0,1389.0,6060.0,77.08,22.92,5.427531577820595,27.90280777537797
Artificial Intelligence,2017,974.0,383.0,1357.0,71.78,28.22,8.632443531827516,19.827676240208877
Computational Theory and Mathematics,2017,224.0,149.0,373.0,60.05,39.95,7.116071428571429,11.12751677852349
Computer Graphics and Computer-Aided Design,2017,27.0,17.0,44.0,61.36,38.64,5.518518518518518,12.352941176470589
Computer Networks and Communications,2017,525.0,251.0,776.0,67.65,32.35,8.228571428571428,16.326693227091635
Computer Science Applications,2017,225.0,63.0,288.0,78.12,21.88,7.084444444444444,12.904761904761905
Computer Vision and Pattern Recognition,2017,420.0,156.0,576.0,72.92,27.08,8.75952380952381,18.96794871794872
Hardware and Architecture,2017,87.0,33.0,120.0,72.5,27.5,5.655172413793103,8.727272727272727
Human-Computer Interaction,2017,137.0,30.0,167.0,82.04,17.96,6.102189781021898,16.866666666666667
Information Systems,2017,1996.0,342.0,2338.0,85.37,14.63,3.1387775551102206,11.511695906432749
Signal Processing,2017,159.0,57.0,216.0,73.61,26.39,5.515723270440252,15.298245614035087
Software,2017,78.0,23.0,101.0,77.23,22.77,5.358974358974359,15.304347826086957
Total,2017,4852.0,1504.0,6356.0,76.34,23.66,5.9010717230008245,15.483377659574469
Artificial Intelligence,2018,1110.0,432.0,1542.0,71.98,28.02,7.489189189189189,18.212962962962962
Computational Theory and Mathematics,2018,289.0,150.0,439.0,65.83,34.17,6.955017301038063,15.56
Computer Graphics and Computer-Aided Design,2018,30.0,13.0,43.0,69.77,30.23,4.6,7.076923076923077
Computer Networks and Communications,2018,644.0,311.0,955.0,67.43,32.57,5.725155279503106,23.829581993569132
Computer Science Applications,2018,238.0,64.0,302.0,78.81,21.19,10.042016806722689,9.40625
Computer Vision and Pattern Recognition,2018,494.0,159.0,653.0,75.65,24.35,7.7408906882591095,26.245283018867923
Hardware and Architecture,2018,96.0,44.0,140.0,68.57,31.43,3.3958333333333335,8.386363636363637
Human-Computer Interaction,2018,143.0,32.0,175.0,81.71,18.29,6.629370629370629,13.75
Information Systems,2018,2197.0,363.0,2560.0,85.82,14.18,2.7746927628584435,13.239669421487603
Signal Processing,2018,177.0,66.0,243.0,72.84,27.16,6.655367231638418,16.78787878787879
Software,2018,48.0,27.0,75.0,64.0,36.0,5.979166666666667,24.22222222222222
Total,2018,5466.0,1661.0,7127.0,76.69,23.31,5.34156604463959,17.975316074653822
Artificial Intelligence,2019,1140.0,435.0,1575.0,72.38,27.62,6.809649122807017,19.275862068965516
Computational Theory and Mathematics,2019,267.0,141.0,408.0,65.44,34.56,8.224719101123595,10.297872340425531
Computer Graphics and Computer-Aided Design,2019,35.0,14.0,49.0,71.43,28.57,1.8571428571428572,13.5
Computer Networks and Communications,2019,684.0,333.0,1017.0,67.26,32.74,5.5394736842105265,22.714714714714713
Computer Science Applications,2019,312.0,77.0,389.0,80.21,19.79,4.544871794871795,9.779220779220779
Computer Vision and Pattern Recognition,2019,575.0,214.0,789.0,72.88,27.12,7.40695652173913,23.1588785046729
Hardware and Architecture,2019,52.0,49.0,101.0,51.49,48.51,3.75,11.979591836734693
